Topic,Count,Name,Representation,Representative_Docs,Representative_Docs_Titles
-1,1767,-1_love_war_friends_town,"['love', 'war', 'friends', 'town', 'mother', 'wife', 'school', 'help', 'death', 'journey']","['The Great Depression hits home for nine year old Kit Kittredge when her dad loses his business and leaves to find work. Oscar nominee Abigail Breslin stars as Kit, leading a splendid cast in the first ever ""American Girl"" theatrical movie. In order to keep their home, Kit and her mother must take in boarders - paying house - guests who turn out to be full of fascinating stories. When mother\'s lockbox containing all their money is stolen, Kit\'s new hobo friend Will is the prime suspect. Kit refuses to believe that Will would steal, and her efforts to sniff out the real story get her and friends into big trouble. The police say the robbery was an inside job, committed by someone they know. So if it wasn\'t Will, then who did it.', 'Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.', 'Recent MIT grad Matt Franklin should be well on his way to a successful career at a Fortune 500 company, but instead he rebels against maturity by taking a job at a video store. Matt rethinks his position when his unrequited high-school crush, Tori, walks in and invites him to an end-of-summer party. With the help of his twin sister and his best friend, Matt hatches a plan to change the course of his life.']",
10,111,10_century_queen_painter_wife,"['century', 'queen', 'painter', 'wife', 'king', 'elizabeth', 'office', 'political', 'slavery', 'margaret']","['In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.', ""The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war."", ""For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted.""]",Free State of Jones | The King's Speech | Frost/Nixon
11,106,11_coach_boxing_football_champion,"['coach', 'boxing', 'football', 'champion', 'boxer', 'championship', 'basketball', 'players', 'cricket', 'player']","[""Disgraced pro football quarterback Paul Crewe lands in a Texas federal penitentiary, where manipulative Warden Hazen recruits him to advise the institution's football team of prison guards. Crewe suggests a tune-up game which lands him quarterbacking a crew of inmates in a game against the guards. Aided by incarcerated ex-NFL coach and player Nate Scarborough, Crewe and his team must overcome not only the bloodthirstiness of the opposition, but also the corrupt warden trying to fix the game against them."", ""When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging the Italian Stallion to a 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior. Rocky takes on Dixon in what will become the greatest fight in boxing history!"", 'Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit. But when he sees his community struggling spiritually and financially, Foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable World Heavyweight Boxing Champion ever.']",The Longest Yard | Rocky Balboa | Big George Foreman
12,106,12_war_world war_nazi_war ii,"['war', 'world war', 'nazi', 'war ii', 'jewish', 'ii', 'german', 'soldiers', 'resistance', 'nazis']","['Based on a true story, during World War II, four Jewish brothers escape their Nazi-occupied homeland of West Belarus in Poland and join the Soviet partisans to combat the Nazis. The brothers begin the rescue of roughly 1,200 Jews still trapped in the ghettos of Poland.', 'In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.', 'In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.']",Defiance | Inglourious Basterds | Black Book
13,102,13_music_band_rock_musician,"['music', 'band', 'rock', 'musician', 'dreams', 'musical', 'singer', 'drummer', 'success', 'musicians']","[""The story of Elliot Tiber and his family, who inadvertently played a pivotal role in making the famed Woodstock Music and Arts Festival into the happening that it was. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival, he calls the producers thinking he could drum up some much-needed business for his parents' run-down motel. Three weeks later, half a million people are on their way to his neighbor’s farm in White Lake, New York, and Elliot finds himself swept up in a generation-defining experience that would change his life–and American culture–forever."", ""Turo is stuck in a small village and the best thing in his life is being the lead vocalist for the amateur metal band Impaled Rektum. He and his bandmates have practiced for 12 years without playing a single gig. The guys get a surprise visitor from Norway -- the promoter for a huge heavy metal music festival -- and decide it's now or never. They steal a van, a corpse, and even a new drummer to make their dreams a reality."", 'Only three days before their high school festival, guitarist Kei, drummer Kyoko, and bassist Nozomi are forced to recruit a new lead vocalist for their band. They choose Korean exchange student Son, though her comprehension of Japanese is a bit rough! It\'s a race against time as the group struggles to learn three songs for the festival\'s rock concert—including a classic \'80s song by the Japanese punk rock band The Blue Hearts called ""Linda Linda"".']",Taking Woodstock | Heavy Trip | Linda Linda Linda
14,91,14_small_celal_angeles_los angeles,"['small', 'celal', 'angeles', 'los angeles', 'los', 'murder', 'lawyer', 'american', 'turn', 'recession']","[""Celal, lives an unhappy family life with his wife Sevilay and his child in a small town. Celal and his brother Cemal, running an electrician shop which doesn't go well. They are in debt. The only fun they have is going to the night clubs in Samsun. Celal's love for Sibel Ceylan who works in the night club, will cause him trouble. Celal's wife, Sevilay, saves her money, sent by her father who lives in Germany. She is unaware of the fact that Celal knows her secret."", 'In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.', ""Phase Gaye Re Obama is a comedy set against the backdrop of global recession/meltdown that originated in USA. The film traces the journey of OM Shashtri, an American citizen of Indian origin, who loses all his wealth overnight to the global recession & has been asked to vacate his home by the bank unless he pays up $100,000 (mortgaged amount) within 30 days. Seeing no other option Om comes to India to sell a small piece of an ancestral property. But within days of landing in India he is kidnapped by a 'recession-hit' underworld gang those who think that he is still a millionaire. What happens to Om, is he able to save his home, how did the 'poor' gangster cope with their 'poor' catch & what do small town Indian gangsters have to say to President Obama...is largely forms the rest of the story. The film, showcases how global recession/ meltdown impacted lives from an America based businessman to underworld dons in the dusty plains of small town India.""]",Vavien | Cruella | Phas Gaye Re Obama
15,86,15_war_army_soldiers_iraq,"['war', 'army', 'soldiers', 'iraq', 'afghanistan', 'korean', 'vietnam', 'soldier', 'mission', 'navy']","['Circles (Serbian: Krugovi) is a Serbian movie based on the true story of a Serbian soldier who risked his life to protect a Muslim civilian during the war in Bosnia. During the war in Bosnia in 1993, a Serbian soldier pays for his life after protecting a Muslim civilian from being attacked by three other soldiers. 12 years later, the consequences of this act of heroism are still having their repercussions.', ""Company commander Claus Michael Pedersen and his men are stationed in Helmand, Afghanistan. Meanwhile back in Denmark, with a husband at war and three children missing their father, everyday life is a struggle for Claus' wife Maria. During a routine mission, the soldiers are caught in heavy Taliban crossfire. In order to save his men, Claus makes a decision that ultimately sees him return to Denmark accused of a war crime."", 'Love and injury in time of war. Attilio de Giovanni teaches poetry in Italy. He has a romantic soul, and women love him. But he is in love with Vittoria, and the love is unrequited. Every night he dreams of marrying her, in his boxer shorts and t-shirt, as Tom Waits sings. Vittoria travels to Iraq with her friend, Fuad, a poet; they are there with the second Gulf War breaks out. Vittoria is injured. Attilio must get to her side, and then, as war rages around him, he must find her the medical care she needs. In war, does love conquer all?']",Circles | A War | The Tiger and the Snow
16,83,16_undercover_assassin_drug_police,"['undercover', 'assassin', 'drug', 'police', 'school', 'high school', 'head', 'operatives', 'sam', 'jenko']","[""After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them."", ""When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind."", 'Before Sam Axe teamed up with Michael and Fiona, he was Commander Axe, U.S. Navy SEAL. The Fall of Sam Axe tells the story of how Sam went from respected Naval Commander to the man of mystery we\'ve come to know on Burn Notice. On what will turn out to be Sam\'s last military mission, he is sent to the jungles of Colombia to investigate claims of a vicious terrorist organization known only as the ""Espada Ardiente"" (Flaming Sword). His mission: to determine whether U.S. military aid is necessary to deal with the threat. But when he arrives, things are more complicated than he\'d imagined. He receives word that the rebels have targeted a small civilian clinic deep in the jungle. Sam must now save the clinic\'s doctors and patients from certain death. However, nothing is as it seems and the Espada Ardiente may not be the biggest threat Sam Axe faces.']",22 Jump Street | 21 Jump Street | Burn Notice: The Fall of Sam Axe
17,67,17_love_andreas_connor_mysterious,"['love', 'andreas', 'connor', 'mysterious', 'strange', 'fall', 'wakes', 'nev', 'adem', 'abby']","[""In early 1970s, Adem is a boy living in an Aegean village with his family. He just finished the primary school and he wants to work while he's on summer holiday. He gets permission from his family to work for a soda pop seller named Ciber Kemal. But the Ramadan has just came and Adem wants to do his fast while he's working. But he starts seeing hallucinations because of the hot summer day. It seems it's going to be the longest day of Adem."", ""Nev, a 24-year-old New York-based photographer, has no idea what he's in for when Abby, an eight-year-old girl from rural Michigan, contacts him on Facebook, seeking permission to paint one of his photographs. When he receives her remarkable painting, Nev begins a friendship and correspondence with Abby's family. But things really get interesting when he develops a cyber-romance with Abby's attractive older sister, Megan, a musician and model. Prompted by some startling revelations about Megan, Nev and his buddies embark on a road trip in search of the truth."", ""Celebrity photographer Connor Mead lives life in the fast lane, committed to lifelong bachelorhood and simultaneous relationships with multiple women. On the eve of his younger brother Paul's wedding, Connor's mockery of love proves a real buzz-kill for everyone - including his childhood crush, Jenny, the one woman who always seemed immune to his considerable charms. Later that night, he gets a wake-up call from the ghost of his late Uncle Wayne, the hard-partying, legendary ladies' man who was Connor's mentor. Uncle Wayne has an urgent message which he delivers through three ghosts who guide Connor on an eye-opening tour of his romantic past, present and future. Along the way, they attempt to discern whether he will ever be able to change his ways -- and if there is any hope of him finding true love.""]",Iftar Soda | Catfish | Ghosts of Girlfriends Past
18,67,18_harry_warriors_warrior_kenshin,"['harry', 'warriors', 'warrior', 'kenshin', 'voldemort', 'ancient', 'defend', 'prince', 'dumbledore', 'bilbo']","['As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.', 'If one man changes his path, will he be able to change his destiny...or will he only delay the inevitable?  Ryu and Ken are two traditional warriors who find themselves isolated in some corner of Japan to carry out their training as fighters, trying to master an ancient style of fighting, known as ""Ansatsuken"" (The Killing Fist). There they will begin to learn about the mysterious past of their trainer, Goken, and the tragic and dark legacy that the Ansatsuken style hides. Will they be able to choose their destiny or will history repeat itself once again?', 'If one man changes his path, will he be able to change his destiny...or will he only delay the inevitable?  Ryu and Ken are two traditional warriors who find themselves isolated in some corner of Japan to carry out their training as fighters, trying to master an ancient style of fighting, known as ""Ansatsuken"" (The Killing Fist). There they will begin to learn about the mysterious past of their trainer, Goken, and the tragic and dark legacy that the Ansatsuken style hides. Will they be able to choose their destiny or will history repeat itself once again?']",Harry Potter and the Half-Blood Prince | Street Fighter: Assassin's Fist The Movie | Street Fighter: Assassin's Fist The Movie
19,60,19_village_turkey_turkish_istanbul,"['village', 'turkey', 'turkish', 'istanbul', 'teacher', 'tala', 'palestinian', 'hüseyin', 'hotel', 'cars']","[""Tala, a London-based Palestinian, is preparing for her elaborate Middle Eastern wedding when she meets Leyla, a young British Indian woman who is dating her best friend. Spirited Christian Tala and shy Muslim Leyla could not be more different from each other, but the attraction is immediate and goes deeper than friendship. But Tala is not ready to accept the implications of the choice her heart has made for her and escapes back to Jordan, while Leyla tries to move on with her new-found life, to the shock of her tradition-loving parents. As Tala's wedding day approaches, simmering tensions come to boiling point and the pressure mounts for Tala to be true to herself."", 'Hüseyin is a young man who lives with his grandfather and grandmother in a village in Thracian Turkey. The two great loves of his life are his clarinet and Müjgan, a nurse. Although Hüseyin is content with his life, with his music and dreams of Mügan, due to an unexpected development he leaves his village. He ends up in Istanbul where he finds support first in his clarinet and then in the friendship of the singer Firuzan. Firuzan is a popular nightclub performer who is eagerly working on an album as she leads a colorful but complicated life. When Firuzan meets Huseyin, the course of events gives away to a hilarious adventure.', 'In a small, poor village leaning over high rocky mountains, the villagers are simple and diligent people who struggle to cope with a harsh nature. They earn their living off the earth and a few animals they feed. Fathers always prefer one of their sons. Mothers command their daughters ruthlessly. Ömer, the son of the imam, wishes hopelessly for the death of his father. When he understands that wishful thinking does not have any concrete results, he begins to search for childish ways to kill his father. Yakup is in love with his teacher, and one day after seeing his father spying on the teacher he dreams too, like Ömer, of killing his father. Yıldız studies and tries to manage the household chores imposed by her mother. She learns with irritation about the secrets of the relationship between men and women.']",I Can't Think Straight | Eyyvah Eyvah | Times and Winds
20,59,20_batman_gotham_gotham city_superman,"['batman', 'gotham', 'gotham city', 'superman', 'league', 'sonic', 'justice league', 'wayne', 'bruce wayne', 'earth']","[""Following a brutal series of murders taking place on Halloween, Thanksgiving, and Christmas, Gotham City's young vigilante known as the Batman sets out to pursue the mysterious serial killer alongside police officer James Gordon and district attorney Harvey Dent."", 'Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.', ""Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.""]","Batman: The Long Halloween, Part One | The Dark Knight | The Dark Knight Rises"
21,58,21_comedy_special_stand_comedian,"['comedy', 'special', 'stand', 'comedian', 'comedy special', 'comic', 'jim', 'burr', 'stand special', 'topics']","['Jim Gaffigan bursts back on the scene with this eagerly anticipated fourth comedy special. Dubbed the ""King of Clean Comedy"" by The Wall Street Journal, Jim\'s obsession with all things food comes to fruition on Obsessed as he tackles a cornucopia of new food topics from fruit to seafood to donuts. Get ready for 70 minutes of non-stop laughs at Jim\'s twisted-yet-enlightened observations on the seemingly mundane topics that have made him a fixture in the comedy world for audiences of all ages.', ""Profane, vulgar and obscenely funny, Louis C.K. insists on telling the truth, whether you like it or not! Join the Emmy Award-winning stand-up comic and TV star (Lucky Louie) as he shares his thoughts on the stuff everyone thinks about -- male bodily fluids, the joys of being white, the difference between women and girls -- but never has the nerve to say. It's Louis C.K. at his risk-taking best: fearless, honest and totally outrageous! Nominated for the 2009 Emmy for Outstanding Writing for a Variety, Music or Comedy Special"", 'ALOHAAAAA! Internationally acclaimed comedian, Gabriel Iglesias, returns to Comedy Central with his latest stand-up special taped at Honolulu’s Hawaii Theatre Center. Watch as Fluffy brings the house down yet again in this complete special with his unique and animated show that has made him popular among fans of all ages. Aloha Fluffy is sure to be a comedy classic, making this extended and uncensored special a must-own.']",Jim Gaffigan: Obsessed | Louis C.K.: Chewed Up | Gabriel Iglesias: Aloha Fluffy
22,57,22_prison_bank_brother_stratos,"['prison', 'bank', 'brother', 'stratos', 'mafia', 'violent', 'johnny', 'fbi', 'robberies', 'gang']","[""Since 2014, France's restorative justice programmes have offered a safe space for supervised dialogue between offenders and victims. Grégoire, Nawelle, and Sabine, victims of heists and violent robberies, agree to join one of these discussion groups alongside offenders Nassim, Issa, and Thomas, all convicted of violent robberies. Meanwhile Chloé, a victim of childhood sexual abuse, prepares for dialogue with her own agressor after learning he has moved back into town."", ""Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans."", 'At age 19, Stratos committed a crime of passion. He spent half his life in prison, where underground boss Leonidas took him under his wing. One day during a rival gang attack, Leonidas saved his life. Stratos never forgot this.  A free man now, Stratos works the night shift at a bakery workshop, a far cry from the killing contracts he executes by day. He gives away all his money to spring Leonidas out of prison, funding an escape plan managed by Leo’s brother, Yorgos.  The fulfillment of his debt is the only thing that matters to Stratos, everything else is indifferent and he lives detached, surrounded by ghosts and fallacies. The day of the escape, the most important day of his life, is near…']",All Your Faces | Eye for an Eye | Stratos
23,54,23_israeli_journalists_united states_states,"['israeli', 'journalists', 'united states', 'states', 'united', 'inequality', 'reich', 'interviews', 'global', 'palestinian']","['Five broken cameras – and each one has a powerful tale to tell. Embedded in the bullet-ridden remains of digital technology is the story of Emad Burnat, a farmer from the Palestinian village of Bil’in, which famously chose nonviolent resistance when the Israeli army encroached upon its land to make room for Jewish colonists. Emad buys his first camera in 2005 to document the birth of his fourth son, Gibreel. Over the course of the film, he becomes the peaceful archivist of an escalating struggle as olive trees are bulldozed, lives are lost, and a wall is built to segregate burgeoning Israeli settlements.', 'Takes us inside the world of Anonymous, the radical ""hacktivist"" collective that has redefined civil disobedience for the digital age. The film explores early hacktivist groups like Cult of the Dead Cow and Electronic Disturbance Theater, then moves to Anonymous\' raucous beginnings on the website 4chan.  Through interviews with current members, people recently returned from prison or facing trial, writers, academics, activists and major players in various ""raids,"" the documentary traces Anonymous’ evolution from merry pranksters to a full-blown movement with a global reach, the most transformative civil disobedience of our time.', 'Based on Reich\'s 2010 book Aftershock: The Next Economy and America\'s Future, the film examines widening income inequality in the United States.  U.S. Labor Secretary Robert Reich tries to raise awareness of the country\'s widening economic gap. He publicly argued about the issue for decades, and producing a film of his viewpoints was a ""final frontier"" for him. In addition to being a social issue documentary, Inequality for All is also partially a biopic regarding Reich\'s early life and his time as Secretary of Labor under Bill Clinton\'s presidency. Warren Buffett and Nick Hanauer, two entrepreneurs and investors in the top 1%, are interviewed in the film, supporting Reich\'s belief in an economy that benefits all citizens, including those of the middle and lower classes.']",5 Broken Cameras | We Are Legion: The Story of the Hacktivists | Inequality for All
24,54,24_school_high_high school_demon,"['school', 'high', 'high school', 'demon', 'mysterious', 'ninja', 'sakura', 'shouya', 'fujino', 'love']","[""Shohoku's “speedster” and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. In his second year of high school, Ryota plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School."", ""Sixteen years ago, a mysterious masked ninja unleashes a powerful creature known as the Nine-Tailed Demon Fox on the Hidden Leaf Village Konoha, killing many people. In response, the Fourth Hokage Minato Namikaze and his wife Kushina Uzumaki, the Demon Fox's living prison or Jinchūriki, manage to seal the creature inside their newborn son Naruto Uzumaki. With the Tailed Beast sealed, things continued as normal. However, in the present day, peace ended when a group of ninja called the Akatsuki attack Konoha under the guidance of Tobi, the mysterious masked man behind Fox's rampage years ago who intends on executing his plan to rule the world by shrouding it in illusions."", ""It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.""]",The First Slam Dunk | Road to Ninja: Naruto the Movie | KONOSUBA – God's blessing on this wonderful world! Legend of Crimson
25,52,25_indian_india_intelligence_agent,"['indian', 'india', 'intelligence', 'agent', 'flight', 'terrorists', 'officer', 'terrorist', 'mumbai', 'american']","['The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.', 'HELD FOR RANSOM tells the true story of Danish photojournalist Daniel Rye who was held hostage for 398 days in Syria by the terror organization ISIS along with several other foreign nationals including the American journalist, James Foley. The film follows Daniel’s struggle to survive in captivity, his friendship with James, and the nightmare of the Rye family back home in Denmark as they try to do everything in their power to save their son. At the center of this crisis, we find hostage negotiator, Arthur, who plays a pivotal role in securing Daniel’s release.', 'Captain Jagadish, an intelligence officer in the Indian Army, returns to Mumbai for a vacation but soon finds himself in a deadly mission. After witnessing a bus bombing, he uncovers a network of sleeper cells planning multiple attacks across the city. With no official backing, he embarks on a personal mission with his trusted comrades to eliminate the mastermind, ensuring the sleeper cells remain leaderless and trapped in silence, waiting for orders that will never come. Ready to sacrifice his own life, he sets out on his final mission—but does he succeed, and at what cost?']",Syriana | Held for Ransom | Thuppakki
